"Entry ID","Lemma ID","Batch","List","Item","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Frequency (Native)","Frequency Sd (Native)","Frequency Z (Native)","Frequency N (Native)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency N (Nonnative)","Frequency Z (Nonnative)","Dominant English Translation","Sign Unknown (%)","English Translation Agreement (%)","Unknown To Participant (%) (Native)","English Name Agreement (%) (Native)","Unknown To Participant (%) (Nonnative)","English Name Agreement (%) (Nonnative)","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity SD","Iconicity Type","Deaf Signer Iconicity","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity N","Deaf Signer Iconicity Z","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","English Translation Agreement","Guess accuracy","Transparency","Transparency SD","Transparency Z","Lexical Class","Sign Onset (ms)","Sign Offset (ms)","Duration (ms)","Video Length (ms)","In CDI","CDI Semantic Category","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Handshape","Selected Fingers","Flexion","Flexion Change","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape M2","Selected Fingers M2","Flexion M2","Flexion Change M2","Spread M2","Spread Change M2","Thumb Position M2","Thumb Contact M2","Sign Type M2","Movement M2","Repeated Movement M2","Major Location M2","Minor Location M2","Second Minor Location M2","Contact M2","Nondominant Handshape M2","Wrist Twist M2","Handshape M3","Selected Fingers M3","Flexion M3","Flexion Change M3","Spread M3","Spread Change M3","Thumb Position M3","Thumb Contact M3","Signtype M3","Movement M3","Repeated Movement M3","Major Location M3","Minor Location M3","Second Minor Location M3","Contact M3","Nondominant Handshape M3","Wrist Twist M3","Handshape M4","Selected Fingers M4","Flexion M4","Flexion Change M4","Spread M4","Spread Change M4","Thumb Position M4","Thumb Contact M4","Sign Type M4","Movement M4","Repeated Movement M4","Major Location M4","Minor Location M4","Second Minor Location M4","Contact M4","Nondominant Handshape M4","Wrist Twist M4","Handshape M5","Selected Fingers M5","Flexion M5","Flexion Change M5","Spread M5","Spread Change M5","Thumb Position M5","Thumb Contact M5","Signtype M5","Movement M5","Repeated Movement M5","Major Location M5","Minor Location M5","Second Minor Location M5","Contact M5","Nondominant Handshape M5","Wrist Twist M5","Handshape M6","Selected Fingers M6","Flexion M6","Flexion Change M6","Spread M6","Spread Change M6","Thumb Position M6","Thumb Contact M6","Sign Type M6","Movement M6","Repeated Movement M6","Major Location M6","Minor Location M6","Second Minor Location M6","Contact M6","Nondominant Handshape M6","Wrist Twist M6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotatio Nfrequency","Phonotactic Probability","Parameter Neighborhood Density","Neighborhood Density","SignBank Reference ID","Age Of Acquisition","Age Of Acquisition (Empirical)"
"accent","accent","E","1","73","2.794","3.094","1.594","-0.681","35","2.75","1.603","-0.911","15","3.3","1.593","20","-0.543","null","0.086","null","0.2","null","null","null","1.917","1.176","-0.755","24","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","434","1502","1068","2035","No","null","null","null","null","1","1","i","Fully Open","null","null","Closed","null","One Handed","None","1","Body","Neck","null","1","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.094","0.006","null","0.153","0.261","0.409","0.791","0.446","0.622","null","null","0.684","0.343","0.164","-0.526","106","1","584","null","null"
"accept","accept","H","2","42","3.43","5.5","1.072","0.812","28","5.786","1.051","1.013","14","5.214","1.051","14","0.611","null","null","null","null","null","null","null","2.739","1.573","-0.215","23","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","367","1268","901","1735","No","null","null","null","null","1","flatspread_5","imrp","Flat","1","1","Open","1","Symmetrical Or Alternating","Straight","null","Body","Torso Top","null","1","flatspread_5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.094","0.032","null","0.457","0.449","0.162","0.209","0.554","0.622","0.398","0.122","0.316","0.657","0.836","-0.131","140","1","2045","null","null"
"access","access","H","2","86","3.208","5.036","1.17","0.527","28","5.214","1.122","0.647","14","4.857","1.231","14","0.406","null","null","null","null","null","null","null","2.565","1.376","-0.274","23","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","334","1368","1034","1935","No","null","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","Asymmetrical Different Handshape","Straight","1","Hand","Palm","Hand Away","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.077","0.155","0.457","0.449","0.409","0.791","0.446","0.622","0.602","0.878","0.684","0.657","0.836","0.363","459","6","2046","null","null"
"accident","accident","B","2","59","3.618","4.12","1.833","-0.326","25","4.071","1.592","-0.344","14","4.182","2.183","11","-0.302","null","null","null","null","null","null","null","3.3","1.896","0.263","30","null","Arbitrary","4.07","1.71","31","0.62","3.77","1.8","0.5","22","2.23","null","4.42","1.02","0.42","Verb","400","1101","701","1635","No","null","null","null","null","1","5","imrp","Fully Open","1","1","Open","1","Symmetrical Or Alternating","Straight","null","Neutral","Neutral","Neutral","1","5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.457","0.449","0.409","0.209","0.554","0.622","0.398","0.122","0.316","0.657","0.836","0.486","512","1","2047","null","null"
"accomplish","accomplish","C","2","85","2.476","4.467","1.456","0.078","30","4.611","1.42","0.057","18","4.25","1.545","12","0.108","null","null","null","null","null","null","null","1.963","1.506","-0.398","27","null","Arbitrary","1.77","1.33","30","-0.59","1.67","1.11","-0.7","21","2.55","null","3","1.75","-0.32","Verb","601","1201","601","2002","No","null","null","null","null","1","1","i","Fully Open","null","null","Closed","null","Symmetrical Or Alternating","Straight","1","Head","Head Away","Head Away","null","1","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.066","0.178","0.457","0.261","0.409","0.791","0.446","0.378","null","null","0.684","0.343","0.164","-0.343","469","null","453","null","null"
"accordion","accordion","F","2","48","1.833","1.737","1.284","-1.423","27","1.875","1.458","-1.291","14","1.636","1.206","13","-1.519","null","0.296","null","0.429","null","0.154","null","6.065","1.611","1.18","31","null","Pantomimic","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","467","1969","1502","2569","No","null","null","null","null","1","s","imrp","Fully Closed","null","null","Closed","1","Symmetrical Or Alternating","Straight","1","Neutral","Neutral","Neutral","null","s","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.457","0.449","0.067","0.791","0.446","0.378","null","null","0.316","0.343","0.836","-0.065","524","7","3331","null","null"
"accountant","accountant","A","3","44","2.5","3.24","1.832","-0.381","25","3.067","1.907","-0.424","15","3.5","1.78","10","-0.316","null","null","null","null","null","null","null","2.476","1.436","-0.496","21","null","Arbitrary","1.55","0.96","31","-0.9","1.47","0.84","-0.89","19","null","null","null","null","null","Noun","400","1235","834","1602","No","null","null","null","1","2","f","i","Curved","null","null","Open","1","Asymmetrical Different Handshape","Straight","1","Hand","Palm","null","1","B","null","open_b","imrp","FullyOpen","null","null","null","Open","null","Symmetrical Or Alternating","Straight","null","Neutral","Neutral","Neutral","null","open_b","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.077","null","0.457","0.261","0.225","0.791","0.446","0.622","null","null","0.316","0.657","0.836","-0.261","397","6","2439","null","null"
"acquire","acquire","H","1","34","2.134","5.25","1.295","0.676","28","5.286","1.383","0.71","14","5.214","1.251","14","0.641","null","null","null","null","null","null","null","2.35","1.755","-0.517","20","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","367","1235","868","1869","No","null","null","null","null","1","8","m","Flat","1","null","Open","1","Symmetrical Or Alternating","Straight","1","Neutral","Neutral","Neutral","null","8","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.457","0.045","0.162","0.209","0.446","0.378","null","null","0.316","0.657","0.836","-0.191","449","3","2048","null","null"
"act","act","B","2","38","3.746","4.28","1.208","-0.214","25","4.286","0.914","-0.225","14","4.273","1.555","11","-0.2","null","null","null","null","null","null","null","1.6","1.003","-0.539","30","null","Arbitrary","1.48","1.06","31","-0.73","1.5","1.1","-0.7","22","2.16","null","3.79","1.48","-0.05","Verb","334","901","567","1468","No","null","null","null","null","1","a","t","null","null","null","Open","null","Symmetrical Or Alternating","Circular","1","Body","Torso Top","Torso Top","1","a","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.094","0.032","0.011","0.076","0.057","null","null","0.446","0.622","null","null","null","0.657","0.836","-0.929","58","8","5","null","null"
"action","action","C","1","26","3.494","4.533","1.383","-0.017","30","4.944","1.11","0.168","18","3.917","1.564","12","-0.294","null","null","null","null","null","null","null","2.2","1.4","-0.336","30","null","Arbitrary","2.17","1.18","30","-0.38","2.14","1.11","-0.45","21","2.56","null","3.05","1.7","-0.25","Noun","501","1168","667","1835","No","null","null","null","null","1","c","imrp","Curved","null","null","Open","null","Symmetrical Or Alternating","Circular","1","Neutral","Neutral","Neutral","null","c","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.076","0.449","0.225","0.791","0.446","0.378","0.602","0.878","0.684","0.657","0.836","0.39","126","2","2440","null","null"
"actor","actor","A","3","47","3.128","4.44","1.635","0.23","25","4.533","1.407","0.33","15","4.3","2.003","10","0.081","null","null","null","null","null","null","null","1.524","0.814","-0.941","21","null","Arbitrary","1.55","0.93","31","-0.9","1.58","0.96","-0.83","19","null","null","null","null","null","Noun","300","1235","934","1602","No","null","null","null","1","2","a","t","null","null","null","Open","null","Symmetrical Or Alternating","Circular","1","Body","Torso Top","Body Away","1","a","null","open_b","imrp","FullyOpen","null","null","null","Open","null","Symmetrical Or Alternating","Straight","null","Neutral","Neutral","Neutral","null","open_b","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.094","0.032","0.045","0.076","0.057","null","null","0.446","0.622","null","null","null","0.657","0.836","-0.917","58","8","2049","null","null"
"add","add","E","2","30","3.227","5.188","1.203","0.52","32","5","1.363","0.407","15","5.353","1.057","17","0.619","null","null","null","null","null","null","null","2.9","2.023","-0.469","30","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","501","1235","734","1935","No","null","null","null","null","1","flatspread_5","imrp","Flat","1","1","Open","1","Dominance Violation","Curved","null","Hand","Hand Away","Finger Ulnar","1","Dominance Violation","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.023","0.25","0.035","0.003","0.233","0.449","0.162","0.209","0.554","0.622","0.398","0.122","0.316","0.657","0.836","-0.296","185","null","651","null","null"
